"filename","url","tags","assetType","format","moderationStatus","publicId","assetId","displayName","deliveryType","createdAt"
"MIRAGE-313-1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323498/birefnet-general-lite/gap/MIRAGE-313-1.jpg","","image","jpg","","birefnet-general-lite/gap/MIRAGE-313-1","8415ceb8097373e3b0de58cb5f31115b","MIRAGE-313-1","upload","2026-03-24T03:38:18Z"
"MIRAGE-604-2","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323497/birefnet-general-lite/gap/MIRAGE-604-2.jpg","","image","jpg","","birefnet-general-lite/gap/MIRAGE-604-2","5163474b5f90eddcb577867e3a27a4bf","MIRAGE-604-2","upload","2026-03-24T03:38:17Z"
"MARGO-669-4","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323488/birefnet-general-lite/gap/MARGO-669-4.jpg","","image","jpg","","birefnet-general-lite/gap/MARGO-669-4","8671b0d9d35998e5cdcea5bd36353656","MARGO-669-4","upload","2026-03-24T03:38:08Z"
"MISSION-929-5","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323488/birefnet-general-lite/gap/MISSION-929-5.jpg","","image","jpg","","birefnet-general-lite/gap/MISSION-929-5","31ffdd9b074dfd42aa70ae1e449eafa0","MISSION-929-5","upload","2026-03-24T03:38:08Z"
"MISSION-600-5","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323487/birefnet-general-lite/gap/MISSION-600-5.jpg","","image","jpg","","birefnet-general-lite/gap/MISSION-600-5","016af21294837a5e3610656e3c5d1d3b","MISSION-600-5","upload","2026-03-24T03:38:07Z"
"ARLO-902-3_1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323485/birefnet-general-lite/gap/ARLO-902-3_1.jpg","","image","jpg","","birefnet-general-lite/gap/ARLO-902-3_1","2074105d429e5c3efba95f3847a18032","ARLO-902-3_1","upload","2026-03-24T03:38:05Z"
"PORTER-232-1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323482/birefnet-general-lite/gap/PORTER-232-1.jpg","","image","jpg","","birefnet-general-lite/gap/PORTER-232-1","3542b34fae922d54573c86fbe5a8a8e2","PORTER-232-1","upload","2026-03-24T03:38:02Z"
"ARLO-120-3","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323467/birefnet-general-lite/gap/ARLO-120-3.jpg","","image","jpg","","birefnet-general-lite/gap/ARLO-120-3","a0e1f2b1b2549313759a7d2aac0f2509","ARLO-120-3","upload","2026-03-24T03:37:47Z"
"MIRAMAR-186-7_1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323464/birefnet-general-lite/gap/MIRAMAR-186-7_1.jpg","","image","jpg","","birefnet-general-lite/gap/MIRAMAR-186-7_1","5911cf851306de874dacc0d78cb849f5","MIRAMAR-186-7_1","upload","2026-03-24T03:37:44Z"
"MIRAGE-902-4","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323452/birefnet-general-lite/gap/MIRAGE-902-4.jpg","","image","jpg","","birefnet-general-lite/gap/MIRAGE-902-4","6695adb38075fa86dc75091e6626dd03","MIRAGE-902-4","upload","2026-03-24T03:37:32Z"
"DAYNA-015-5","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323447/birefnet-general-lite/gap/DAYNA-015-5.jpg","","image","jpg","","birefnet-general-lite/gap/DAYNA-015-5","09d9eb312de7d7b2bcc2ebaed3f66bd9","DAYNA-015-5","upload","2026-03-24T03:37:27Z"
"DAYNA-015-1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323427/birefnet-general-lite/gap/DAYNA-015-1.jpg","","image","jpg","","birefnet-general-lite/gap/DAYNA-015-1","a5d7b26add432c30198ed4dbf577fdf9","DAYNA-015-1","upload","2026-03-24T03:37:07Z"
"KIRA-124-7","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323424/birefnet-general-lite/gap/KIRA-124-7.jpg","","image","jpg","","birefnet-general-lite/gap/KIRA-124-7","60bcda3488d01340dde188edb2d096e8","KIRA-124-7","upload","2026-03-24T03:37:04Z"
"ARLO-902-5","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323424/birefnet-general-lite/gap/ARLO-902-5.jpg","","image","jpg","","birefnet-general-lite/gap/ARLO-902-5","43a7c0b2a73bb88d483f67befa557ab0","ARLO-902-5","upload","2026-03-24T03:37:04Z"
